Sr#,Category Id,Name,Path,Synonyms
78,209,Voltage Stabilizers & Guards,TV Audio Video Gaming & Wearables/Video/Video Accessories/Voltage Stabilizers & Guards,
79,211,Video Glasses,TV Audio Video Gaming & Wearables/Gadgets/Video Glasses,
80,242,Bridge,Cameras/Bridge,
81,245,Mirrorless,Cameras/Mirrorless,
82,249,Action Cameras & Camcorders,Cameras/Gadgets & Other Cameras/Action Cameras & Camcorders,
83,250,Film Cameras,Cameras/Gadgets & Other Cameras/Film Cameras,
84,251,Toy Cameras,Cameras/Gadgets & Other Cameras/Toy Cameras,
85,252,Underwater Cameras,Cameras/Gadgets & Other Cameras/Underwater Cameras,
86,253,Mini Cameras,Cameras/Gadgets & Other Cameras/Mini Cameras,
87,254,Lomography,Cameras/Gadgets & Other Cameras/Lomography,
88,257,Batteries,Cameras/Camera Accessories/Batteries,
89,258,Battery Chargers,Cameras/Camera Accessories/Battery Chargers,
90,260,Camera Cases Covers and Bags,Cameras/Camera Accessories/Camera Cases Covers and Bags,
91,261,Camera Remote Controls,Cameras/Camera Accessories/Camera Remote Controls,
92,262,Dry Box,Cameras/Camera Accessories/Dry Box,
93,264,Flashes,Cameras/Camera Accessories/Flashes,
94,272,Straps,Cameras/Camera Accessories/Straps,
95,274,Films,Cameras/Camera Accessories/Films,
96,278,Blenders,Home Appliances/Small Kitchen Appliances/Food Preparation/Blenders,
97,280,Mixers,Home Appliances/Small Kitchen Appliances/Food Preparation/Mixers,
98,281,Grinders,Home Appliances/Small Kitchen Appliances/Food Preparation/Grinders,
99,289,Electric Kettles,Home Appliances/Small Kitchen Appliances/Electric Kettles & Thermo Pots/Electric Kettles,
100,290,Thermo Pots,Home Appliances/Small Kitchen Appliances/Electric Kettles & Thermo Pots/Thermo Pots,
101,291,Electric Knives,Home Appliances/Small Kitchen Appliances/Electric Knives & Sharpeners/Electric Knives,
102,305,Juicers & Fruit Extractors,Home Appliances/Small Kitchen Appliances/Juicers & Fruit Extractors,
103,321,Bread Makers,Home Appliances/Small Kitchen Appliances/Specialty Cookware/Bread Makers,
104,324,Pasta & Noodle Makers,Home Appliances/Small Kitchen Appliances/Specialty Cookware/Pasta & Noodle Makers,
105,326,Other Cookware,Home Appliances/Small Kitchen Appliances/Specialty Cookware/Other Cookware,
106,360,Air Purifiers,Home Appliances/Cooling & Heating/Air Treatment/Air Purifiers,
107,361,Dehumidifiers,Home Appliances/Cooling & Heating/Air Treatment/Dehumidifiers,
108,362,Humidifiers,Home Appliances/Cooling & Heating/Air Treatment/Humidifiers,
109,363,Fans,Home Appliances/Cooling & Heating/Fans,
110,370,Heaters,Home Appliances/Cooling & Heating/Heaters,
111,371,Water Heaters,Home Appliances/Cooling & Heating/Water Heaters,
112,373,Irons,Home Appliances/Irons & Garment Steamers/Irons,
113,376,Garment Steamers,Home Appliances/Irons & Garment Steamers/Garment Steamers,
114,392,Voltage Stabilizers,Home Appliances/Vacuums & Floor Care/Voltage Stabilizers,
115,393,Window Cleaners,Home Appliances/Vacuums & Floor Care/Window Cleaners,
116,1440,Bath & Body Accessories,Health & Beauty/Bath & Body/Bath & Body Accessories,
117,1467,Gifts & Value Sets,Health & Beauty/Bath & Body/Gifts & Value Sets,
118,1468,Body & Massage Oils,Health & Beauty/Bath & Body/Body & Massage Oils,
119,1470,Body Scrubs,Health & Beauty/Bath & Body/Body Scrubs,
120,1471,Body Soaps & Shower Gels,Health & Beauty/Bath & Body/Body Soaps & Shower Gels,
121,1475,Hair Removal,Health & Beauty/Bath & Body/Hair Removal,
122,1478,Body Moisturizers,Health & Beauty/Bath & Body/Body Moisturizers,
123,1494,Bronzers,Health & Beauty/Makeup/Body/Bronzers,
124,1496,Shimmers and Glitters,Health & Beauty/Makeup/Body/Shimmers and Glitters,
125,1498,Eyeliners,Health & Beauty/Makeup/Eyes/Eyeliners,
126,1499,Eye Primers,Health & Beauty/Makeup/Eyes/Eye Primers,
127,1500,Eye Shadow,Health & Beauty/Makeup/Eyes/Eye Shadow,
128,1501,Eyebrows,Health & Beauty/Makeup/Eyes/Eyebrows,
129,1504,Mascaras,Health & Beauty/Makeup/Eyes/Mascaras,
130,1506,Blushes,Health & Beauty/Makeup/Face/Blushes,
131,1507,Bronzers,Health & Beauty/Makeup/Face/Bronzers,
132,1508,Compacts & Powder,Health & Beauty/Makeup/Face/Compacts & Powder,
133,1511,Concealer,Health & Beauty/Makeup/Face/Concealer,
134,1512,Foundation,Health & Beauty/Makeup/Face/Foundation,
135,1513,Makeup Base & Primer,Health & Beauty/Makeup/Face/Makeup Base & Primer,
136,1514,Tinted Moisturizer,Health & Beauty/Makeup/Face/Tinted Moisturizer,
137,1515,Highlighters & Contour,Health & Beauty/Makeup/Face/Highlighters & Contour,
138,1519,Lip Gloss,Health & Beauty/Makeup/Lips/Lip Gloss,
139,1520,Lip Liners,Health & Beauty/Makeup/Lips/Lip Liners,
140,1522,Lipsticks,Health & Beauty/Makeup/Lips/Lipsticks,
141,1524,Makeup Brushes & Sets,Health & Beauty/Makeup/Makeup Accessories/Makeup Brushes & Sets,
142,1525,Cotton Balls Pads and Buds,Health & Beauty/Makeup/Makeup Accessories/Cotton Balls Pads and Buds,
143,1526,Eyelash Curlers,Health & Beauty/Makeup/Makeup Accessories/Eyelash Curlers,
144,1527,Oil Blotters,Health & Beauty/Makeup/Makeup Accessories/Oil Blotters,
145,1528,Makeup Bags & Organizers,Health & Beauty/Makeup/Makeup Accessories/Makeup Bags & Organizers,
146,1529,Mirrors,Health & Beauty/Makeup/Makeup Accessories/Mirrors,
147,1530,Sponges & Applicators,Health & Beauty/Makeup/Makeup Accessories/Sponges & Applicators,
148,1531,Pencil Sharpeners,Health & Beauty/Makeup/Makeup Accessories/Pencil Sharpeners,
149,1532,Tweezers & Razors,Health & Beauty/Makeup/Makeup Accessories/Tweezers & Razors,
150,1533,Makeup Palettes & Sets,Health & Beauty/Makeup/Makeup Palettes & Sets,
151,1537,Makeup Removers,Health & Beauty/Makeup/Makeup Removers,
152,1539,Artificial Nails,Health & Beauty/Makeup/Nails/Artificial Nails,
153,1540,Manicure Kits & Accessories,Health & Beauty/Makeup/Nails/Manicure Kits & Accessories,
154,1541,Nail Art & Stickers,Health & Beauty/Makeup/Nails/Nail Art & Stickers,
155,1542,Nail Polish,Health & Beauty/Makeup/Nails/Nail Polish,
156,1543,Nail Polish Remover,Health & Beauty/Makeup/Nails/Nail Polish Remover,
157,1598,Bath & Body Sets,Health & Beauty/Gift Sets/Bath & Body Sets,
158,1599,Facial Sets,Health & Beauty/Gift Sets/Facial Sets,
159,1601,Men,Health & Beauty/Gift Sets/Fragrances/Men,
160,1602,Women,Health & Beauty/Gift Sets/Fragrances/Women,
161,1603,Makeup Kits Sets & Palettes,Health & Beauty/Gift Sets/Makeup Kits Sets & Palettes,
162,1605,Shampoo,Health & Beauty/Hair Care/Shampoo,
163,1607,Wig & Hair Extensions & Pads,Health & Beauty/Hair Care/Hair Care Accessories/Wig & Hair Extensions & Pads,
164,1608,Hair Brushes & Combs,Health & Beauty/Hair Care/Hair Care Accessories/Hair Brushes & Combs,
165,1610,Hair Coloring,Health & Beauty/Hair Care/Hair Coloring,
166,1612,Hair Styling,Health & Beauty/Hair Care/Hair Styling,
167,1618,Hair Treatments,Health & Beauty/Hair Care/Hair Treatments,
168,1630,Body,Health & Beauty/Beauty Tools/Skin Care Tools/Body,
169,1631,Face,Health & Beauty/Beauty Tools/Skin Care Tools/Face,
170,1633,Curling Irons & Wands,Health & Beauty/Beauty Tools/Hair Styling Appliances/Curling Irons & Wands,
171,1634,Hair Dryers,Health & Beauty/Beauty Tools/Hair Styling Appliances/Hair Dryers,
172,1635,Flat Irons,Health & Beauty/Beauty Tools/Hair Styling Appliances/Flat Irons,
173,1636,Multi-stylers,Health & Beauty/Beauty Tools/Hair Styling Appliances/Multi-stylers,
174,1637,Hair Removal Appliances,Health & Beauty/Beauty Tools/Hair Removal Appliances,
175,1643,Body Slimming & Electric Massagers,Health & Beauty/Beauty Tools/Body Slimming & Electric Massagers,
176,1649,Lotion & Butter,Health & Beauty/Men's Care/Body and Skin Care/Body Care/Lotion & Butter,
177,1650,Scrubs,Health & Beauty/Men's Care/Body and Skin Care/Body Care/Scrubs,
178,1651,Sunscreen & After Sun,Health & Beauty/Men's Care/Body and Skin Care/Body Care/Sunscreen & After Sun,
179,1652,Body Soaps & Shower Gels,Health & Beauty/Men's Care/Body and Skin Care/Body Care/Body Soaps & Shower Gels,
180,1654,Hand & Foot Care,Health & Beauty/Men's Care/Body and Skin Care/Hand & Foot Care,
181,1657,Shampoo,Health & Beauty/Men's Care/Hair Care/Shampoo,
182,1658,Hair Coloring,Health & Beauty/Men's Care/Hair Care/Hair Coloring,
183,1661,Hair Styling,Health & Beauty/Men's Care/Hair Care/Hair Styling,
184,1667,Hair Treatments,Health & Beauty/Men's Care/Hair Care/Hair Treatments,
185,1683,Scale & Body Fat Analyzers,Health & Beauty/Medical Supplies/Scale & Body Fat Analyzers,
186,1685,Breast Care,Health & Beauty/Bath & Body/Breast Care,
187,1688,Blood Pressure Monitors,Health & Beauty/Medical Supplies/Health Monitors & Tests/Blood Pressure Monitors,
188,1689,Compression Stockings,Health & Beauty/Medical Supplies/Compression Stockings,
189,1690,First Aid Supplies,Health & Beauty/Medical Supplies/First Aid Supplies,
190,1691,Blood Glucose Monitor,Health & Beauty/Medical Supplies/Health Monitors & Tests/Blood Glucose Monitor,
191,1692,Health Accessories,Health & Beauty/Medical Supplies/Health Accessories,
192,1693,Nebulizer & Aspirators,Health & Beauty/Medical Supplies/Nebulizer & Aspirators,
193,1694,Ointments and Creams,Health & Beauty/Medical Supplies/Ointments and Creams,
194,1695,Pedometers,Health & Beauty/Medical Supplies/Pedometers,
195,1696,Pulse Oximeters,Health & Beauty/Medical Supplies/Health Monitors & Tests/Pulse Oximeters,
196,1698,Injury Support and Braces,Health & Beauty/Medical Supplies/Injury Support and Braces,
197,1699,Deodorants,Health & Beauty/Personal Care/Deodorants,
198,1705,Clear Lens,Health & Beauty/Personal Care/Eye Care/Contact Lens/Clear Lens,
199,1706,Color Lens,Health & Beauty/Personal Care/Eye Care/Contact Lens/Color Lens,
200,1707,Contact Lens Care & Accessories,Health & Beauty/Personal Care/Eye Care/Contact Lens Care & Accessories,
201,1710,Dental Flosses & Sticks,Health & Beauty/Personal Care/Oral Care/Dental Flosses & Sticks,
202,1711,Electric Toothbrushes,Health & Beauty/Personal Care/Oral Care/Electric Toothbrushes,
203,1712,Mouthwash,Health & Beauty/Personal Care/Oral Care/Mouthwash,
204,1713,Oral Care Accessories,Health & Beauty/Personal Care/Oral Care/Oral Care Accessories,
205,1714,Teeth Whitening,Health & Beauty/Personal Care/Oral Care/Teeth Whitening,
206,1715,Toothbrushes,Health & Beauty/Personal Care/Oral Care/Toothbrushes,
207,1716,Toothpaste,Health & Beauty/Personal Care/Oral Care/Toothpaste,
208,1719,Feminine Wash,Health & Beauty/Personal Care/Feminine Care/Feminine Wash,
209,1720,Vaginal Cream,Health & Beauty/Personal Care/Feminine Care/Vaginal Cream,
210,1721,Panty Liners,Health & Beauty/Personal Care/Feminine Care/Panty Liners,
211,1722,Pregnancy & Fertility,Health & Beauty/Personal Care/Feminine Care/Pregnancy & Fertility,
212,1723,Sanitary Napkins,Health & Beauty/Personal Care/Feminine Care/Sanitary Napkins,
213,1724,Tampons,Health & Beauty/Personal Care/Feminine Care/Tampons,
214,1740,Dresses,Fashion/Women/Clothing/Dresses,
215,1755,Skirts,Fashion/Women/Clothing/Skirts,
216,1756,Socks & Tights,Fashion/Women/Clothing/Socks & Tights,
217,1761,Blazers & Vests,Fashion/Women/Clothing/Jackets & Coats/Blazers & Vests,
218,1764,Beachwear & Accessories,Fashion/Women/Clothing/Swimwear & Beachwear/Beachwear & Accessories,
219,1765,Tanks & Camisoles,Fashion/Women/Clothing/Tops/Tanks & Camisoles,
220,1772,Sneakers,Fashion/Women/Shoes/Sneakers,
221,1780,Shoes Accessories,Fashion/Women/Shoes/Shoes Accessories,
222,1785,Sweaters,Fashion/Men/Clothing/Sweaters & Cardigans/Sweaters,
223,1789,Jeans,Fashion/Men/Clothing/Jeans,
224,1797,Suits,Fashion/Men/Clothing/Suits/Suits,
225,1799,Swimwear,Fashion/Men/Clothing/Swimwear,
226,1802,Chinos,Fashion/Men/Clothing/Pants/Chinos,
227,1805,Briefs,Fashion/Men/Clothing/Underwear/Briefs,
228,1811,Sneakers,Fashion/Men/Shoes/Sneakers,
229,1818,Shoes Accessories,Fashion/Men/Shoes/Shoes Accessories,
230,1849,Belts,Fashion/Women/Accessories/Belts,
231,1851,Hats & Caps,Fashion/Women/Accessories/Hats & Caps,
232,1852,Hair Accessories,Fashion/Women/Accessories/Hair Accessories,
233,1853,Umbrellas,Fashion/Women/Accessories/Umbrellas,
234,1875,Ties,Fashion/Men/Accessories/Ties & Bow Ties/Ties,
235,1876,Bow Ties,Fashion/Men/Accessories/Ties & Bow Ties/Bow Ties,
236,1877,Scarves,Fashion/Men/Accessories/Scarves,
237,1878,Umbrellas,Fashion/Men/Accessories/Umbrellas,
238,1885,Belts,Fashion/Men/Accessories/Belts,
239,1886,Hats & Caps,Fashion/Men/Accessories/Hats & Caps,
240,1973,Blocks,Sports & Outdoors/Exercise & Fitness/Yoga/Blocks,
241,1974,Foam Rollers,Sports & Outdoors/Exercise & Fitness/Yoga/Foam Rollers,
242,1975,Yoga Mat Bags,Sports & Outdoors/Exercise & Fitness/Yoga/Yoga Mat Bags,
243,1976,Yoga Mats,Sports & Outdoors/Exercise & Fitness/Yoga/Yoga Mats,
244,1979,Straps,Sports & Outdoors/Exercise & Fitness/Yoga/Straps,
245,1981,Chairs,Sports & Outdoors/Exercise & Fitness/Pilates/Chairs,
246,1982,Fitness Circles,Sports & Outdoors/Exercise & Fitness/Pilates/Fitness Circles,
247,1983,Flexbands,Sports & Outdoors/Exercise & Fitness/Pilates/Flexbands,
248,1985,Reformers,Sports & Outdoors/Exercise & Fitness/Pilates/Reformers,
249,1986,Spine Supporters,Sports & Outdoors/Exercise & Fitness/Pilates/Spine Supporters,
250,1988,Elliptical Trainers,Sports & Outdoors/Exercise & Fitness/Cardio Equipment/Elliptical Trainers,
251,1990,Rowing Machines,Sports & Outdoors/Exercise & Fitness/Cardio Equipment/Rowing Machines,
252,1991,Step Machines,Sports & Outdoors/Exercise & Fitness/Cardio Equipment/Step Machines,
253,2018,Aquatic Fitness Equipment,Sports & Outdoors/Exercise & Fitness/Fitness Accessories/Aquatic Fitness Equipment,
254,2019,Balance Trainers,Sports & Outdoors/Exercise & Fitness/Fitness Accessories/Balance Trainers,
255,2021,Exercise Balls,Sports & Outdoors/Exercise & Fitness/Fitness Accessories/Exercise Balls,
256,2023,Exercise Mats,Sports & Outdoors/Exercise & Fitness/Fitness Accessories/Exercise Mats,
257,2025,Fitness Gloves,Sports & Outdoors/Exercise & Fitness/Fitness Accessories/Fitness Gloves,
258,2028,Jump Ropes,Sports & Outdoors/Exercise & Fitness/Fitness Accessories/Jump Ropes,
259,2029,Jumping Trainers,Sports & Outdoors/Exercise & Fitness/Fitness Accessories/Jumping Trainers,
260,2032,Protective Flooring,Sports & Outdoors/Exercise & Fitness/Fitness Accessories/Protective Flooring,
261,2033,Sauna Suits & Belts,Sports & Outdoors/Exercise & Fitness/Fitness Accessories/Sauna Suits & Belts,
262,2044,Straps,Sports & Outdoors/Exercise & Fitness/Fitness Accessories/Straps,
263,2045,Trampolines,Sports & Outdoors/Exercise & Fitness/Fitness Accessories/Trampolines,
264,2061,Grips & Tapes,Sports & Outdoors/Racket Sports/Tennis/Grips & Tapes,
265,2103,Balls,Sports & Outdoors/Racket Sports/Tennis/Balls,
266,2107,Equipment Bags,Sports & Outdoors/Racket Sports/Tennis/Equipment Bags,
267,2110,Rackets,Sports & Outdoors/Racket Sports/Tennis/Rackets,
268,2117,Training Equipment,Sports & Outdoors/Racket Sports/Tennis/Training Equipment,
269,2130,Balls,Sports & Outdoors/Racket Sports/Table Tennis/Balls,
270,2132,Nets,Sports & Outdoors/Racket Sports/Table Tennis/Nets,
271,2139,Bags & Covers,Sports & Outdoors/Racket Sports/Table Tennis/Bags & Covers,
272,2141,Bats,Sports & Outdoors/Racket Sports/Table Tennis/Bats,
273,2148,Tables,Sports & Outdoors/Racket Sports/Table Tennis/Tables,
274,2173,Rackets,Sports & Outdoors/Racket Sports/Badminton/Rackets,
275,2176,Bags & Covers,Sports & Outdoors/Racket Sports/Badminton/Bags & Covers,
276,2178,Nets,Sports & Outdoors/Racket Sports/Badminton/Nets,
277,2376,Balls,Sports & Outdoors/Racket Sports/Squash/Balls,
278,2380,Rackets,Sports & Outdoors/Racket Sports/Squash/Rackets,
279,2384,Bags & Covers,Sports & Outdoors/Racket Sports/Squash/Bags & Covers,
280,2497,Basketballs,Sports & Outdoors/Team Sports/Basketball/Basketballs,
281,2504,Skill & Agility Aids,Sports & Outdoors/Team Sports/Basketball/Training Equipment/Skill & Agility Aids,
282,2505,Scoreboards & Timers,Sports & Outdoors/Team Sports/Basketball/Training Equipment/Scoreboards & Timers,
283,2538,Training Equipment,Sports & Outdoors/Team Sports/Volleyball/Training Equipment,
284,2546,Volleyballs,Sports & Outdoors/Team Sports/Volleyball/Volleyballs,
285,2558,Accessories,Sports & Outdoors/Team Sports/Cricket/Accessories,
286,2560,Balls,Sports & Outdoors/Team Sports/Cricket/Balls,
287,2561,Bats,Sports & Outdoors/Team Sports/Cricket/Bats,
288,2562,Gloves,Sports & Outdoors/Team Sports/Cricket/Gloves,
289,2569,Rugby,Sports & Outdoors/Team Sports/Rugby,
290,2577,Balls,Sports & Outdoors/Team Sports/Sepak Takraw/Balls,
291,2578,Nets,Sports & Outdoors/Team Sports/Sepak Takraw/Nets,
292,2631,Camping & Hiking Tool Kits,Sports & Outdoors/Outdoor Recreation/Camping & Hiking/Camping & Hiking Tool Kits,
293,2642,Sleeping Bags,Sports & Outdoors/Outdoor Recreation/Camping & Hiking/Sleeping Gear/Sleeping Bags,
294,2643,Air Mattresses,Sports & Outdoors/Outdoor Recreation/Camping & Hiking/Sleeping Gear/Air Mattresses,
295,2644,Sleeping Pads,Sports & Outdoors/Outdoor Recreation/Camping & Hiking/Sleeping Gear/Sleeping Pads,
296,2645,Pillows & Accessories,Sports & Outdoors/Outdoor Recreation/Camping & Hiking/Sleeping Gear/Pillows & Accessories,
297,2655,Tents,Sports & Outdoors/Outdoor Recreation/Camping & Hiking/Tents,
298,2664,BMX,Sports & Outdoors/Outdoor Recreation/Cycling/Bikes/BMX,
299,2665,Comfort & Cruiser Bikes,Sports & Outdoors/Outdoor Recreation/Cycling/Bikes/Comfort & Cruiser Bikes,
300,2666,Folding Bikes,Sports & Outdoors/Outdoor Recreation/Cycling/Bikes/Folding Bikes,
301,2667,Hybrid Bikes,Sports & Outdoors/Outdoor Recreation/Cycling/Bikes/Hybrid Bikes,
302,2668,Mountain Bikes,Sports & Outdoors/Outdoor Recreation/Cycling/Bikes/Mountain Bikes,
303,2671,Road Bikes,Sports & Outdoors/Outdoor Recreation/Cycling/Bikes/Road Bikes,
304,2673,Kids Bikes,Sports & Outdoors/Outdoor Recreation/Cycling/Bikes/Kids Bikes,
305,2682,Racks & Storage,Sports & Outdoors/Outdoor Recreation/Cycling/Bike Accessories/Racks & Storage,
306,2686,Child Seats,Sports & Outdoors/Outdoor Recreation/Cycling/Bike Accessories/Child Seats,
